cell_id,escenario,escala_planta,utilizacion,restriccion_ambiental,pendiente_pct,riesgo_pendiente,dist_gasoducto_km,sitio_viable,capex_base,capex_geoespacial,capex_ajustado,ingresos_totales,coste_feedstock,opex_variable,opex_fijo,opex_total,ebitda,margen_ebitda,cash_flow_anual,NPV,IRR,Payback,score_economico,clasificacion
13733,Pesimista,Grande,1.0,Baja,4.2828925614331155,Bajo,0.070311222197727,True,15000000,756322.049594671,15756322.04959467,5775000.0,2234162.2789249998,4034162.2789249998,1260126.4409918934,5294288.719916893,480711.28008310683,0.08324004849923927,191961.28008310683,-14113233.563816253,-0.16273879105421574,82.08073025337819,18.6,No Recomendable
13733,Base,Grande,1.0,Baja,4.2828925614331155,Bajo,0.070311222197727,True,15000000,756322.049594671,15756322.04959467,7825000.0,2234162.2789249998,3534162.2789249998,1100126.4409918934,4634288.719916893,3190711.280083107,0.40775863004256957,2264388.8275555745,3625665.861045845,0.11601533005712006,6.958311160103958,56.3,Marginal
13733,Optimista,Grande,1.0,Baja,4.2828925614331155,Bajo,0.070311222197727,True,15000000,756322.049594671,15756322.04959467,9900000.0,2234162.2789249998,3234162.2789249998,1020126.4409918934,4254288.719916893,5645711.280083107,0.5702738666750613,4001888.8275555745,18497760.081317913,0.24443083262866372,3.937221329363843,94.1,Muy Atractivo
13803,Pesimista,Grande,1.0,Baja,4.354523802678172,Bajo,0.10255305195613806,True,15000000,627701.2657234462,15627701.265723446,5775000.0,2377954.6840999997,4177954.6840999997,1257554.025314469,5435508.709414469,339491.2905855309,0.058786370664161196,50741.29058553092,-15193382.270358715,-0.2525729455689525,307.9878553617189,17.5,No Recomendable
13803,Base,Grande,1.0,Baja,4.354523802678172,Bajo,0.10255305195613806,True,15000000,627701.2657234462,15627701.265723446,7825000.0,2377954.6840999997,3677954.6840999997,1097554.025314469,4775508.709414469,3049491.290585531,0.38971134703968446,2156330.1557012056,2829360.746133972,0.10858580071604407,7.247360161617531,53.4,Marginal
13803,Optimista,Grande,1.0,Baja,4.354523802678172,Bajo,0.10255305195613806,True,15000000,627701.2657234462,15627701.265723446,9900000.0,2377954.6840999997,3377954.6840999997,1017554.0253144689,4395508.709414469,5504491.290585531,0.5560092212712657,3893830.155701206,17701454.96640604,0.23917356551365887,4.0134522156396395,94.0,Muy Atractivo
13469,Pesimista,Grande,1.0,Baja,3.791191573291493,Bajo,0.1894425145534686,True,15000000,650383.656076966,15650383.656076966,5775000.0,2314359.8872999996,4114359.8872999996,1258007.6731215394,5372367.5604215395,402632.43957846053,0.06971990295730918,113882.43957846053,-14675609.341576071,-0.20016008556788334,137.42578499378268,18.0,No Recomendable
13469,Base,Grande,1.0,Baja,3.791191573291493,Bajo,0.1894425145534686,True,15000000,650383.656076966,15650383.656076966,7825000.0,2314359.8872999996,3614359.8872999996,1098007.6731215394,4712367.5604215395,3112632.4395784605,0.39778050346050614,2204064.057285128,3215255.669079613,0.11229482795509282,7.100693650144833,54.8,Marginal
13469,Optimista,Grande,1.0,Baja,3.791191573291493,Bajo,0.1894425145534686,True,15000000,650383.656076966,15650383.656076966,9900000.0,2314359.8872999996,3314359.8872999996,1018007.6731215394,4332367.5604215395,5567632.4395784605,0.5623871151089354,3941564.057285128,18087349.88935168,0.2421064093392109,3.9706023874331353,94.0,Muy Atractivo
13735,Pesimista,Grande,1.0,Baja,5.940352803953,Medio,0.006296018772131139,True,15000000,951524.7618031965,15951524.761803197,5775000.0,2148265.843425,3948265.843425,1264030.4952360638,5212296.338661063,562703.6613389365,0.09743786343531369,273953.66133893654,-13606624.236093171,-0.1355779055757863,58.22709097531611,19.2,No Recomendable
