cell_id,score,biomasa_10km,dist_gasoducto,dist_carretera,pendiente_media,pts_carretera,pts_suelo,dist_nucleos,red_natura,cluster,purin_bruto_t_anio,purin_mov_t_anio,biometano_Nm3h,biometano_año_m3,capex_total_€,capex_total_M€,opex_fijo_€,coste_feedstock_€,opex_variable_€,amortizacion_anual_€,costes_totales_€,ingreso_pesimista_€,margen_pesimista_€,margen_pesimista_M€,ingreso_base_€,margen_base_€,margen_base_M€,ingreso_optimista_€,margen_optimista_€,margen_optimista_M€,proporcion_biomasa,stock_proyectado_15a,viable,viable_pred,margen_pred_€,margen_pred_M€
1768,62.58,267315.0,9430.286112905864,7795.932771604365,8.680025634765625,2,3.0,7046.86700695652,0,1.0,382227.0,276159.0,630.5,5523179.0,5981585.0,5.98,904632.0,938941.0,662781.0,398772.0,2905126.0,3506292.0,601166.0,0.6,4334768.0,1429642.0,1.43,5163245.0,2258119.0,2.26,0.051572009140833076,437707.0,0,0,1392920.1627044892,1.39
1769,63.79,261356.0,9794.740594526786,7387.924856252457,5.35565673828125,2,3.0,6711.3980875838815,0,1.0,385578.0,278580.0,636.0,5571596.0,6118557.0,6.12,907371.0,947172.0,668592.0,407904.0,2931039.0,3535100.0,604061.0,0.6,4370839.0,1439800.0,1.44,5206578.0,2275539.0,2.28,0.050422363208243344,427950.0,0,0,1415258.3354095733,1.42
1774,62.79,251493.0,7897.127127538062,9515.591445622813,4.7878506469726565,2,3.0,8531.523756075598,0,1.0,373759.0,270041.0,616.5,5400821.0,5451799.0,5.45,894036.0,918139.0,648099.0,363453.0,2823727.0,3433488.0,609761.0,0.61,4243612.0,1419885.0,1.42,5053735.0,2230008.0,2.23,0.04851953423809188,411800.0,0,0,1365612.8755123296,1.37
1776,64.08,258053.0,7872.194096129067,9419.413469376497,1.3501963806152344,2,3.0,9233.805893239838,0,1.0,381251.0,275454.0,628.9,5509073.0,5506106.0,5.51,895122.0,936544.0,661089.0,367074.0,2859829.0,3497898.0,638069.0,0.64,4324259.0,1464430.0,1.46,5150620.0,2290791.0,2.29,0.0497851286864538,422542.0,0,0,1414696.6807414393,1.41
1777,62.63,249494.0,8230.08225675988,9756.442254331794,3.9287142944335938,2,3.0,8846.750027368584,0,1.0,367193.0,265297.0,605.7,5305932.0,5497525.0,5.5,894950.0,902010.0,636712.0,366502.0,2800174.0,3377030.0,576856.0,0.58,4172919.0,1372745.0,1.37,4968809.0,2168635.0,2.17,0.04813387519811087,408527.0,0,0,1347239.942514085,1.35
1778,62.59,246694.0,8579.271008516404,10015.861813310365,2.657479248046875,2,3.0,9175.719714381928,0,1.0,362594.0,261974.0,598.1,5239477.0,5564350.0,5.56,896287.0,890712.0,628737.0,370957.0,2786693.0,3337489.0,550796.0,0.55,4123410.0,1336717.0,1.34,4909332.0,2122639.0,2.12,0.04759368244576127,403942.0,0,0,1334713.64732636,1.33
1779,62.88,260225.0,8236.56949048969,9530.639364655113,3.6444268798828126,2,3.0,9551.299333448875,0,1.0,377703.0,272890.0,623.0,5457807.0,5586158.0,5.59,896723.0,927826.0,654937.0,372411.0,2851897.0,3467395.0,615498.0,0.62,4286066.0,1434169.0,1.43,5104737.0,2252840.0,2.25,0.0502041639214907,426098.0,0,0,1412038.489383762,1.41
1780,62.83,266533.0,8723.247455551991,7958.026012750308,8.635263671875,2,3.0,7057.395663112034,0,1.0,377659.0,272859.0,623.0,5457174.0,5731800.0,5.73,899636.0,927721.0,654861.0,382120.0,2864338.0,3467019.0,602681.0,0.6,4285595.0,1421257.0,1.42,5104171.0,2239833.0,2.24,0.051421141022141154,436427.0,0,0,1396766.356512565,1.4
1781,61.59,268533.0,8682.755610997381,8640.798697717568,10.51272216796875,2,3.0,7763.321869928325,0,1.0,380944.0,275232.0,628.4,5504642.0,5746746.0,5.75,899935.0,935789.0,660557.0,383116.0,2879397.0,3495262.0,615865.0,0.62,4320958.0,1441561.0,1.44,5146655.0,2267258.0,2.27,0.05180699298810515,439702.0,0,0,1383269.5467133168,1.38
1782,60.55,245494.0,8284.167485897544,9074.962333103307,10.11401611328125,2,3.0,8142.644112102111,0,1.0,363906.0,262922.0,600.3,5258440.0,5486643.0,5.49,894733.0,893935.0,631013.0,365776.0,2785457.0,3348772.0,563315.0,0.56,4137538.0,1352081.0,1.35,4926304.0,2140847.0,2.14,0.047362171266182876,401977.0,0,0,1265901.0438953107,1.27
