cell_id,score_idoneidad,escala_optima,VAN_esperado,VAN_p50,VAN_p5,VAN_p95,prob_VAN_positivo,prob_TIR_sobre_WACC,TIR_p50,utilizacion_media
5280.0,83.6,Grande,-766965.380600555,-847343.6163061634,-6671353.636713042,5302490.017977717,0.41196,0.41196,0.0714030698928596,0.8720824510962674
13175.0,92.52,Grande,-2778.2793366945884,-32079.57482984662,-5882444.14466722,5966991.783624237,0.49676,0.49676,0.07967801486075021,0.8969523201767783
13176.0,91.48,Grande,-82098.58512548804,-131437.8104707282,-5912322.780956196,5905185.364458768,0.48632,0.48632,0.07865241245058274,0.8978305214491135
13177.0,93.0,Grande,-113696.22349870544,-190478.3760805903,-5995759.541156326,5959709.380265095,0.48072,0.48072,0.0780231376019912,0.8800827943629361
13178.0,91.97,Grande,324188.9481922319,323131.1492442312,-5534786.680102307,6146387.5693717,0.53352,0.53352,0.08326488224890494,0.9167441920368498
13179.0,92.46,Grande,409428.795919852,350281.01771561056,-5361519.24308663,6363446.448923876,0.5376,0.5376,0.08360130792589726,0.9104519903546676
13190.0,91.22,Grande,74284.09326972082,28931.781237771735,-5816640.953253677,5959344.367723764,0.5028,0.5028,0.08029404849791111,0.9107696943314247
13191.0,88.72,Grande,714161.2625210012,737314.1312639294,-5045296.249783968,6520599.62996003,0.57856,0.57856,0.08746069601273565,0.9320092281752222
13192.0,91.42,Grande,542383.9831721785,539179.1012835279,-5319263.3721394,6368909.984232448,0.5598,0.5598,0.08541372041642814,0.9277208268454665
13194.0,88.6,Grande,1029035.4107985237,1090161.5639288118,-4701224.717895033,6635016.223182774,0.61648,0.61648,0.09085093796293475,0.9520274878881196
13197.0,88.65,Grande,1217877.9725277743,1271305.0241165282,-4280262.0947580105,6708987.917852063,0.6378,0.6378,0.09258658462910574,0.9642838442470619
13235.0,87.92,Mediana,-1578703.7140618383,-1529844.082951813,-4323022.948216894,1001170.5333290391,0.17036,0.17036,0.05047460544160676,1.0
13241.0,84.26,Mediana,-1560394.7789750837,-1501456.7401644941,-4351902.3053145325,1049332.5316617829,0.17192,0.17192,0.05098018894039191,1.0
13243.0,89.47,Grande,-391942.7865797464,-475372.9380975263,-6321995.381810465,5699423.397944077,0.4528,0.4528,0.07509972600370884,0.8765851107083785
13245.0,85.94,Grande,-404733.3963622175,-501163.1527089458,-6262257.673778395,5720390.632414077,0.44724,0.44724,0.07477400515864341,0.8710999489114162
13247.0,91.27,Grande,433468.4509688897,423973.4694420742,-5382646.24800013,6334149.464944181,0.54116,0.54116,0.08435605565790116,0.906947650687295
13248.0,89.52,Grande,111748.35292380619,51538.14761941135,-5800729.376466559,6103124.98327434,0.50584,0.50584,0.08052180582449431,0.892785624688397
13253.0,83.4,Grande,-1124323.5075585474,-1208565.3141380446,-6920289.321419656,5012410.860726087,0.3712,0.3712,0.06751420452280421,0.8502826570671564
13254.0,85.29,Grande,-467943.17784179305,-572543.6079539759,-6260067.346185469,5603535.05780436,0.43944,0.43944,0.07408501614190433,0.8725044544447486
13258.0,88.85,Grande,-294659.0060495638,-346317.0598867526,-6133998.100751337,5676468.905784947,0.46048,0.46048,0.07643437096568562,0.8780792486611533
13270.0,93.55,Grande,92401.34420188484,47210.53833834361,-5780108.166136557,6088935.334357602,0.50476,0.50476,0.0804917170194912,0.8934231648030924
13271.0,91.12,Grande,701900.7351847177,661171.7096889764,-5081598.903255736,6655140.323832238,0.56896,0.56896,0.08685749937715148,0.9135339102826084
13273.0,89.71,Grande,496153.18675502145,494637.50934579317,-5360890.7178959055,6363294.502692157,0.55136,0.55136,0.08503045273400778,0.9204671109787379
13275.0,89.41,Grande,727776.1357713707,712596.1213294761,-5116432.120603138,6597006.336430765,0.5734,0.5734,0.08727991822705083,0.9257037282615203
13278.0,90.71,Grande,971542.3178017823,969918.1991767418,-4874062.983696376,6801472.779817456,0.6054,0.6054,0.0899455719493426,0.9329687402096122
13292.0,89.43,Grande,1070041.0328588574,1100437.2100856174,-4560730.592917617,6811539.87590136,0.61676,0.61676,0.09103127472719508,0.9483821929207907
13294.0,89.02,Grande,1274521.1891586722,1324926.3203573963,-4369523.182277666,6807616.5206866665,0.64708,0.64708,0.09324400003624911,0.9613500572408175
13297.0,88.95,Grande,1255928.4456379458,1290855.4971034573,-4283732.436081991,6741474.397282715,0.64516,0.64516,0.09287011574249704,0.9624423167552041
13322.0,88.43,Grande,1237712.8367449555,1272181.5563475303,-4197961.174144974,6734898.344659509,0.64192,0.64192,0.0925585632612479,0.9696162861416876
13323.0,88.19,Grande,1276141.4537730026,1336047.4974328447,-4082074.729434398,6574724.628053183,0.64992,0.64992,0.09312416380080502,0.9769869639491616
13412.0,88.52,Grande,1262598.0894645147,1296844.8718078006,-4169406.6897128713,6665731.802436484,0.64256,0.64256,0.09276411573658871,0.9709544875399745
13417.0,87.82,Grande,1243946.0544787375,1315293.8878740119,-4100291.7872693622,6535342.505984124,0.646,0.646,0.09286071597003531,0.9789818618617107
13585.0,89.34,Grande,-1025558.5602814746,-1127233.2046063785,-6799198.736596152,4998052.932714624,0.38196,0.38196,0.06815813375610191,0.8376200836420433
13714.0,89.35,Mediana,-1294220.0930124216,-1239718.998985658,-4036319.3422389003,1288182.984120407,0.21832,0.21832,0.055274468775884156,1.0
13715.0,91.06,Mediana,-1070942.0660103702,-1038356.4686134895,-3780445.9329862897,1496620.222337207,0.2588,0.2588,0.05893587792370658,1.0
13720.0,90.69,Grande,-618317.3485603854,-700949.0486636758,-6435479.222411402,5413316.452397253,0.4258,0.4258,0.07269806804215284,0.8584253761873566
13721.0,90.38,Grande,99646.69152837708,72721.54377924185,-5772576.817434413,6143110.23704651,0.50744,0.50744,0.0807463653082453,0.8963974502914737
13722.0,90.21,Grande,471076.8485118802,460583.304322253,-5410510.016898564,6321652.675042441,0.54832,0.54832,0.08468971893198751,0.9170878148891125
13723.0,90.19,Grande,690471.6449772939,699274.8417437803,-5114037.462996425,6540480.1033272585,0.57144,0.57144,0.08708242725782422,0.9289519445769271
13724.0,89.78,Grande,-232930.75784324005,-315700.5847483678,-6068012.6906203395,5807713.595410725,0.467,0.467,0.07672421967399357,0.8796245279191673
13725.0,90.3,Grande,1002246.8350317668,1028251.5479236227,-4655735.1647798335,6659069.866892387,0.6124,0.6124,0.09040315487602513,0.9441561465349653
13726.0,89.36,Grande,519780.07349387486,503775.4957064921,-5301961.794183651,6458295.922811133,0.55264,0.55264,0.0851471910123971,0.9150017127790516
13727.0,89.16,Grande,906345.873173144,928595.3023741338,-4740377.442158474,6604471.62409658,0.60036,0.60036,0.0893249668604944,0.9461388447021757
13728.0,88.85,Grande,-204694.79498324174,-264869.39376698807,-6033497.859215569,5887658.032229003,0.47152,0.47152,0.07726956970280874,0.887464033158389
13729.0,89.33,Grande,652252.2445578228,685219.133845468,-5162415.892204238,6378301.87586627,0.57172,0.57172,0.08689255272294205,0.9330237872917196
13732.0,91.13,Grande,1626142.4900813946,1667003.95389817,-3909210.086643159,7110931.217356121,0.684,0.684,0.09685414894987388,0.9659453256171889
13733.0,91.11,Grande,1974400.2512557376,2014738.981894807,-3284940.2187110283,7175019.679184948,0.72712,0.72712,0.10018600493021279,0.9857959907459658
13734.0,90.66,Grande,1223122.2617442794,1271802.4706191327,-4368068.03808915,6756159.333698762,0.63564,0.63564,0.09275395579687973,0.9574161412171881
13735.0,91.46,Grande,1612597.0204525604,1678280.9981397837,-3774227.102022303,6983493.537609099,0.68508,0.68508,0.09673252910919539,0.9758864797187232
13736.0,88.9,Grande,1288562.772469988,1334371.8482608348,-4209996.234312332,6794051.705442935,0.64672,0.64672,0.09323205027061943,0.9663610233906769
13737.0,89.4,Grande,1426446.1598100998,1484481.752265946,-3979531.634276645,6842948.843046123,0.663,0.663,0.09477953367959258,0.9714135663032016
13738.0,89.79,Grande,1724682.3660301666,1755220.879130463,-3538243.482673202,6967119.4891975485,0.70032,0.70032,0.09743470407143051,0.9855293754213513
13739.0,89.69,Grande,1516866.3465231513,1559484.0627114046,-3898783.578475933,6939613.674291232,0.67664,0.67664,0.0955524229393504,0.9755066872035016
13748.0,85.52,Grande,1828803.8051206898,1843417.4787440607,-3362908.0654092664,6966119.369919592,0.71408,0.71408,0.09829420144101353,0.9903940152466154
13750.0,88.3,Grande,878356.1233334414,901080.471339752,-4749008.277063737,6528197.312375375,0.59788,0.59788,0.08894530374827136,0.9505164349598906
13751.0,87.88,Grande,650192.9183539854,664910.8165915962,-5116267.312946185,6384294.273561352,0.57248,0.57248,0.08660278923071718,0.9380088902969572
13752.0,88.29,Grande,271444.93585482315,261401.54601389263,-5589324.819380725,6162781.814108033,0.5278,0.5278,0.08263345456198701,0.9187388085539889
13753.0,87.52,Grande,-840868.6407806717,-884712.7924208231,-6781679.507100351,5280139.720606372,0.40524,0.40524,0.07113578840388224,0.8780207677454315
13754.0,86.54,Grande,491311.32173923677,542196.3079611724,-5220324.304423028,6141397.402437028,0.55772,0.55772,0.08526464488978891,0.950041612085269
13756.0,86.88,Grande,9597.244128194458,25510.59052232094,-5828453.044241354,5858752.877059405,0.50272,0.50272,0.08024572741318758,0.9267799679893377
13770.0,88.11,Grande,1164987.90708854,1195983.2966897404,-4376260.996398105,6669675.916595084,0.6338,0.6338,0.09183317593015583,0.9645711930656186
13771.0,85.26,Grande,1468681.0707656927,1513771.466539368,-3886663.3277824395,6819321.077405519,0.66908,0.66908,0.09492895441367077,0.978912446684689
13772.0,88.56,Grande,1358417.623601835,1410620.6824012948,-4102672.6025065067,6739060.878680575,0.65924,0.65924,0.09394341350524005,0.9735433404941192
13773.0,83.54,Grande,1273435.9584929815,1301739.1731772553,-4036518.0552815152,6522584.854494032,0.65148,0.65148,0.09264020216121438,0.9854709120164135
13774.0,86.98,Grande,642832.0720972697,688297.9797484819,-4951610.192428775,6183706.241999199,0.57744,0.57744,0.08667509207377178,0.9597676924570734
13775.0,84.36,Grande,1156352.275247296,1215090.5106624346,-4387809.299205436,6644548.465274981,0.63352,0.63352,0.09189658766007991,0.9688580294654696
13842.0,84.66,Grande,2003627.168137907,2008813.3588754795,-3074880.6568235867,7089476.592399381,0.73344,0.73344,0.09997175041371342,0.9954848112949528
13843.0,85.65,Grande,1892269.7272244373,1924189.7338989815,-3315188.7707164637,7089751.279835044,0.7178,0.7178,0.09905948442201173,0.9904182892914672
13844.0,87.32,Grande,1868159.2080732083,1898408.046779681,-3438888.492272376,7094856.2613822585,0.71332,0.71332,0.09902547679189755,0.9844250070690569
13846.0,87.37,Grande,2094391.5935012957,2109901.835117041,-3088863.663678174,7187280.7328258455,0.74136,0.74136,0.10112827932823099,0.9924527924852996
13848.0,88.3,Grande,2064797.600393679,2105766.3068031846,-3181573.890219907,7295061.292170094,0.73172,0.73172,0.10129185132624818,0.9853267291798242
13849.0,90.67,Grande,1851038.597873744,1891571.686307298,-3603610.539391805,7237837.048178013,0.70924,0.70924,0.09917053117254371,0.9746377409604448
13909.0,84.51,Grande,1697526.4674219885,1734060.3128232257,-3568139.113150661,6903094.882876586,0.69672,0.69672,0.09723201502800038,0.9860520960858314
13915.0,84.4,Grande,648003.6324050169,705858.7890130049,-5122755.800480919,6415484.511725763,0.57336,0.57336,0.08703223140983096,0.9381816425529862
